,StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed
22,576303,24,20000476,1,2019,Dante Cunningham,SA,SF,21,20000024,2019-06-24T22:18:50,64,629.4,1057,25,85.4,180.0,54.1,64.9,51.3,105.9,55.1,34.2,74.0,52.6,15.9,20.5,88.6,54.7,159.5,214.1,7.4,18.6,12.6,57.0,30.8,14.8,25.1,80.9,221.0,189.0,66.5,12.9,8.8,1.8,1.5,13.3,10.2,675.0,669.7,675.0,-194.8,0.0,0.0,669.7,False
23,676792,29,20000480,1,2019,Jimmer Fredette,PHO,PG,0,20000029,2019-06-24T22:18:50,6,49.4,73,52,10.4,33.0,31.4,31.4,10.4,18.2,57.0,0.0,14.8,0.0,7.8,7.8,113.9,1.3,7.8,9.1,2.2,11.9,7.8,10.4,3.9,0.0,6.5,6.5,25.1,36.0,39.8,7.1,20.0,2.9,0.0,15.5,27.8,52.8,52.7,52.8,-43.3,0.0,0.0,52.7,False
24,575663,26,20000482,1,2019,Draymond Green,GS,PF,66,20000026,2019-06-24T22:18:50,66,2171.7,2351,49,214.1,480.7,50.7,57.2,160.6,292.7,62.5,53.5,187.9,32.5,71.8,103.6,78.8,68.3,479.5,547.9,4.2,23.7,14.2,518.2,108.2,79.7,192.5,224.4,553.6,526.3,59.9,17.4,30.6,2.9,3.7,30.5,14.9,2359.7,2335.8,2359.7,527.4,10.4,0.0,2335.8,False
25,576304,30,20000483,1,2019,Harrison Barnes,SAC,SF,77,20000030,2019-06-24T22:18:50,77,2162.6,2884,49,490.9,1169.8,47.8,57.4,292.7,667.5,50.0,198.2,502.3,45.0,260.8,316.6,93.9,64.9,346.3,411.2,2.9,14.4,9.5,131.0,57.0,14.8,111.6,139.0,1440.8,1309.1,62.6,17.5,8.1,1.2,0.6,10.2,23.3,2234.4,2344.9,2234.4,-60.4,5.2,0.0,2344.9,False
26,669325,26,20000484,1,2019,Andrew Bogut,GS,C,5,20000026,2019-06-24T22:18:50,11,154.3,153,27,20.5,41.0,57.0,57.0,20.5,41.0,57.0,0.0,0.0,0.0,3.9,3.9,113.9,13.7,49.0,62.6,11.4,37.2,24.9,12.5,3.9,10.4,10.4,25.1,44.4,42.5,59.2,18.1,12.0,1.4,6.5,20.1,16.5,166.9,162.0,166.9,11.4,0.0,0.0,162.0,False
27,575664,26,20000485,1,2019,Stephen Curry,GS,PG,69,20000026,2019-06-24T22:18:50,69,3311.4,2655,23,719.8,1526.3,53.8,68.8,316.6,603.7,59.8,403.2,922.6,49.8,299.6,326.9,104.3,51.3,369.0,420.3,2.8,16.2,10.9,411.2,104.8,28.5,218.7,189.1,2142.5,1670.1,73.0,33.5,27.5,2.4,1.2,13.2,34.8,3444.7,3648.5,3444.7,784.8,3.9,0.0,3648.5,False
28,575665,26,20000486,1,2019,Klay Thompson,GS,SG,78,20000026,2019-06-24T22:18:50,78,2807.4,3021,21,746.0,1596.9,53.2,63.0,471.5,914.6,58.8,274.5,682.3,45.8,146.9,180.0,92.9,42.1,298.4,340.6,2.0,11.5,7.8,211.9,95.7,53.5,131.0,178.8,1913.5,1676.1,65.0,23.2,12.0,2.0,1.9,9.4,29.2,2956.6,3027.2,2956.6,397.5,0.0,0.0,3027.2,False
29,575666,26,20000487,1,2019,Andre Iguodala,GS,SF,13,20000026,2019-06-24T22:18:50,68,1352.4,1796,63,172.0,344.0,57.0,65.9,117.3,180.0,74.3,54.7,164.0,37.9,44.4,76.3,66.3,54.7,232.4,287.0,4.4,15.0,11.1,246.0,69.5,58.1,59.2,108.2,443.1,377.6,66.9,17.3,19.1,2.4,3.5,15.4,11.9,1480.0,1423.8,1480.0,358.8,0.0,0.0,1423.8,False
30,575667,26,20000488,1,2019,Shaun Livingston,GS,PG,0,20000026,2019-06-24T22:18:50,64,737.4,1100,62,124.2,239.2,59.1,59.1,124.2,236.9,59.7,0.0,2.6,0.0,45.6,58.1,89.3,47.8,85.4,133.3,6.3,10.3,8.4,129.8,35.3,30.8,43.3,84.3,293.9,264.7,63.2,15.5,16.8,2.0,3.0,16.0,13.7,803.5,765.7,803.5,52.4,0.0,0.0,765.7,False
31,577195,21,20000492,1,2019,Justin Holiday,MEM,SG,77,20000021,2019-06-24T22:18:50,82,1906.2,2968,36,341.7,885.0,44.0,55.8,157.2,355.4,50.3,184.5,529.6,39.6,108.2,120.7,102.1,52.4,315.5,367.9,2.5,13.8,9.0,166.3,137.8,41.0,118.5,186.8,976.1,938.1,59.2,13.2,10.9,3.0,1.7,12.8,18.2,2085.1,2081.2,2085.1,-510.3,3.9,0.0,2081.2,False
