,TeamID,Key,Active,City,Name,LeagueID,StadiumID,Conference,Division,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,WikipediaLogoUrl,WikipediaWordMarkUrl,GlobalTeamID
17,18,OKC,True,Oklahoma City,Thunder,3,18,Western,Northwest,007AC1,EF3B24,FDBB30,002D62,https://upload.wikimedia.org/wikipedia/en/5/5d/Oklahoma_City_Thunder.svg,,20000018
18,19,POR,True,Portland,Trail Blazers,3,19,Western,Northwest,E03A3E,000000,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/2/21/Portland_Trail_Blazers_logo.svg,,20000019
19,20,DEN,True,Denver,Nuggets,3,20,Western,Northwest,00285E,5091CD,FDB927,,https://upload.wikimedia.org/wikipedia/en/7/76/Denver_Nuggets.svg,,20000020
20,21,MEM,True,Memphis,Grizzlies,3,21,Western,Southwest,00285E,6189B9,BED4E9,FDB927,https://upload.wikimedia.org/wikipedia/en/f/f1/Memphis_Grizzlies.svg,,20000021
21,22,HOU,True,Houston,Rockets,3,22,Western,Southwest,CE1141,C4CED4,000000,FFFFFF,https://upload.wikimedia.org/wikipedia/en/2/28/Houston_Rockets.svg,,20000022
22,23,NO,True,New Orleans,Pelicans,3,23,Western,Southwest,002B5C,B4975A,E31837,,https://upload.wikimedia.org/wikipedia/en/0/0d/New_Orleans_Pelicans_logo.svg,,20000023
23,24,SA,True,San Antonio,Spurs,3,24,Western,Southwest,000000,C4CED4,,,https://upload.wikimedia.org/wikipedia/en/a/a2/San_Antonio_Spurs.svg,,20000024
24,25,DAL,True,Dallas,Mavericks,3,25,Western,Southwest,0053BC,BBC4CA,000000,,https://upload.wikimedia.org/wikipedia/en/9/97/Dallas_Mavericks_logo.svg,,20000025
25,26,GS,True,Golden State,Warriors,3,26,Western,Pacific,006BB6,FDB927,26282A,,https://upload.wikimedia.org/wikipedia/en/0/01/Golden_State_Warriors_logo.svg,,20000026
26,27,LAL,True,Los Angeles,Lakers,3,27,Western,Pacific,552583,FDB927,000000,,https://upload.wikimedia.org/wikipedia/commons/3/3c/Los_Angeles_Lakers_logo.svg,,20000027
27,28,LAC,True,Los Angeles,Clippers,3,27,Western,Pacific,ED174C,006BB6,87ceeb,000000,https://upload.wikimedia.org/wikipedia/en/b/bb/Los_Angeles_Clippers_%282015%29.svg,,20000028
28,29,PHO,True,Phoenix,Suns,3,28,Western,Pacific,1D1160,E56020,000000,F9A01B,https://upload.wikimedia.org/wikipedia/en/d/dc/Phoenix_Suns_logo.svg,,20000029
29,30,SAC,True,Sacramento,Kings,3,29,Western,Pacific,5A2B81,63727A,000000,FFFFFF,https://upload.wikimedia.org/wikipedia/en/c/c7/SacramentoKings.svg,,20000030
